State,Marriage Rate,Mental Health Metric,Mental Health Value,Overall Correlation,P-value
Alabama,7.45,Any Mental Illness 26+ (%),23.056,0.155,0.279
Alaska,6.4,Any Mental Illness 26+ (%),22.748,0.155,0.279
Arizona,5.6,Any Mental Illness 26+ (%),20.887,0.155,0.279
Arkansas,8.05,Any Mental Illness 26+ (%),22.453,0.155,0.279
California,3.35,Any Mental Illness 26+ (%),20.308,0.155,0.279
Colorado,7.45,Any Mental Illness 26+ (%),24.573,0.155,0.279
Connecticut,5.7,Any Mental Illness 26+ (%),18.858,0.155,0.279
Delaware,5.0,Any Mental Illness 26+ (%),18.87,0.155,0.279
District Of Columbia,7.8,Any Mental Illness 26+ (%),24.703,0.155,0.279
Florida,6.95,Any Mental Illness 26+ (%),18.544,0.155,0.279
Georgia,5.8,Any Mental Illness 26+ (%),20.746,0.155,0.279
Hawaii,13.6,Any Mental Illness 26+ (%),19.588,0.155,0.279
Idaho,7.4,Any Mental Illness 26+ (%),25.743,0.155,0.279
Illinois,4.8,Any Mental Illness 26+ (%),20.382,0.155,0.279
Indiana,6.05,Any Mental Illness 26+ (%),21.934,0.155,0.279
Iowa,5.4,Any Mental Illness 26+ (%),25.078,0.155,0.279
Kansas,5.45,Any Mental Illness 26+ (%),22.333,0.155,0.279
Kentucky,6.25,Any Mental Illness 26+ (%),22.516,0.155,0.279
Louisiana,4.05,Any Mental Illness 26+ (%),23.259,0.155,0.279
Maine,7.4,Any Mental Illness 26+ (%),22.661,0.155,0.279
Maryland,5.1,Any Mental Illness 26+ (%),20.143,0.155,0.279
Massachusetts,4.85,Any Mental Illness 26+ (%),21.231,0.155,0.279
Michigan,5.25,Any Mental Illness 26+ (%),20.858,0.155,0.279
Minnesota,5.0,Any Mental Illness 26+ (%),22.502,0.155,0.279
Mississippi,5.95,Any Mental Illness 26+ (%),21.105,0.155,0.279
Missouri,5.9,Any Mental Illness 26+ (%),24.779,0.155,0.279
Montana,10.45,Any Mental Illness 26+ (%),24.481,0.155,0.279
Nebraska,5.45,Any Mental Illness 26+ (%),23.354,0.155,0.279
Nevada,26.05,Any Mental Illness 26+ (%),22.941,0.155,0.279
New Hampshire,6.85,Any Mental Illness 26+ (%),20.539,0.155,0.279
New Jersey,5.1,Any Mental Illness 26+ (%),16.876,0.155,0.279
New Mexico,5.05,Any Mental Illness 26+ (%),23.459,0.155,0.279
New York,5.75,Any Mental Illness 26+ (%),19.709,0.155,0.279
North Carolina,6.25,Any Mental Illness 26+ (%),20.553,0.155,0.279
